machine_id,start,end
602559279ada660001b8c8b5,2021/06/12/17,2021/07/28/17
5c760b780851b700014c3d25,2021/03/12/09,2021/04/27/09
5a3d23882f05df0001000270,2021/04/10/00,2021/05/26/00
5f6e4111a6ccb60001ad88e1,2021/02/11/07,2021/03/29/07
5ec579fc6481ed00014c3c35,2020/11/07/01,2020/12/23/01
5f461f71008c8a000150cffe,2021/01/04/11,2021/02/19/11
5f13fb63ecca5100012b40fd,2021/04/08/15,2021/05/24/15
5c463405a81e6a000161ade8,2020/11/07/19,2020/12/23/19
5fca619ca649ed0001ec9e59,2021/04/06/12,2021/05/22/12
5e1639931d33b30001fec514,2021/02/08/21,2021/03/26/21
5e55968b0fa21d0001a88a4c,2021/01/23/22,2021/03/10/22
5de695bb3722310001d38151,2021/06/11/21,2021/07/27/21
5ebb00359196f7000157e294,2021/02/12/13,2021/03/30/13
5af46132e38ff10001bbc10f,2020/09/26/19,2020/11/11/19
5fa01de1ce12ea0001167126,2021/05/05/21,2021/06/20/21
5fa2bd7ced7e450001ed0d12,2021/07/02/13,2021/08/17/13
5f16abd2ab44ba000132d05e,2021/04/30/17,2021/06/15/17
604ee7e6160d530001f04322,2021/06/07/20,2021/07/23/20
5ef632984db9b000018269bf,2020/08/17/20,2020/10/02/20
5c463696a81e6a000161afca,2020/11/15/02,2020/12/31/02
60896c32b2f960000168aa67,2021/05/31/10,2021/07/16/10
5f16d8d6ecca5100012ddfaf,2021/03/06/19,2021/04/21/19
5f4d4bbe1d1f030001419794,2020/09/27/02,2020/11/12/02
5e3a0295d4553c000109e930,2021/02/12/22,2021/03/30/22
5f16d36fab44ba000132f41c,2020/12/25/13,2021/02/09/13
5ced5ba7ee3cdc0001753536,2020/10/27/00,2020/12/12/00
5db03aba38771f0001e199d0,2020/10/28/15,2020/12/13/15
5eeb4d25b0f53300018fd54b,2021/02/17/21,2021/04/04/21
5f55022b754602000175ac70,2021/06/26/11,2021/08/11/11
5f54e2837546020001758fcf,2021/01/07/10,2021/02/22/10
5f2859f286c85b00016af790,2021/05/08/02,2021/06/23/02
5fa2b8b35fd5bf00018dc0ec,2020/12/25/17,2021/02/09/17
600f3fcaee000100011443c2,2021/02/23/06,2021/04/10/06
5fcd02b8a4fadf000127b917,2021/04/18/00,2021/06/03/00
5e569e113ce9c600010ce737,2021/05/18/15,2021/07/03/15
5e4d8a43b4006800016877f2,2021/04/01/22,2021/05/17/22
604ee7e7160d530001f04327,2021/04/10/01,2021/05/26/01
5eeb6bc3ac230e0001279ac4,2021/04/25/10,2021/06/10/10
5e5d129c6b4d3d0001a03f48,2020/12/18/10,2021/02/02/10
5ee2542c4eec8a00016abb29,2020/07/31/06,2020/09/15/06
5c9a0e76c0909800015123b8,2020/11/14/09,2020/12/30/09
5ec554746481ed00014c29d7,2020/10/25/10,2020/12/10/10
5e5d129c6b4d3d0001a03f48,2021/05/03/05,2021/06/18/05
604110b3395955000138bb06,2021/06/12/15,2021/07/28/15
5f21937f86c85b0001650738,2021/06/01/22,2021/07/17/22
5f273b9786c85b000169fe8f,2021/04/21/17,2021/06/06/17
5fd2e84a63c9b60001bb756c,2021/04/16/22,2021/06/01/22
5ee618c17eb62500011e5d85,2021/04/13/06,2021/05/29/06
5c193a5805fde70001e19f3a,2021/03/21/19,2021/05/06/19
60816e66e481630001f24b71,2021/05/27/08,2021/07/12/08
5cd7f1071607540001609680,2021/01/12/16,2021/02/27/16
5f8dc2f5a64a7b00015212bc,2021/03/10/10,2021/04/25/10
5e67f802e366dd000176ca8e,2020/08/25/14,2020/10/10/14
6080cfc3e481630001f1370b,2021/06/07/02,2021/07/23/02
5fa9860fa47db900016fb68d,2021/02/13/13,2021/03/31/13
5f55017a754602000175ab67,2021/02/21/09,2021/04/08/09
